key,files,functions,lines,addLines,deleteLines,pos,time,rf,ibf,isComponent,distance,isInducing
105870@a9e8ba8ee474,0,0,0.082257,0.036399,0.114597,0.25,0.04,1,0.821823,1,0.25,true
105870@b6a7e9013f33,0,0.089389,0.202102,0.197248,0.072303,0.25,0.125,1,0.821823,1,0.5,true
105870@a2f859f65852,0.535072,0.649572,0.595127,0.531468,0.693291,0.05,0.018182,0.022727,0.487233,0,0.5,false
105870@e7fadc2d4141,0.204543,0.303236,0.469364,0.468396,0.167882,0.082353,0.045455,0.522727,0.821823,0,1,false
105870@a6b6e3cf36a4,0.882115,1,1,1,0.072303,0.072289,0.013699,0.102273,0.197926,0,1,false
105870@f2258c95c059,0,0,0.036399,0,0.072303,0.2,0.021739,0.011364,0.268957,0,0.047619,false
105870@7012373d248c,0.149606,0.389518,0.469604,0.467663,0.229195,0.043478,0.032258,0.022727,0.292091,0,0.25,false
105870@b551a5573b3c,0,0.141678,0.268931,0.248899,0.229195,0.1,0.2,0.011364,0.821823,0,1,false
105870@bfa82473ab54,0.066202,0.24139,0.388184,0.38075,0.267552,0.2,0.019231,1,0.821823,1,0.055556,false
105870@7e803ef7c42f,0.113173,0.141678,0.394496,0.288963,0.493118,0.104167,0.02381,0.602273,0.821823,0,0.25,false
105870@3ca62d75a91b,0.349417,0.407131,0.571295,0.538199,0.613695,0.166667,0.333333,1,0.821823,1,0.1,false
105870@6bb813672b4a,0,0.141678,0.186674,0.168034,0.144606,0.166667,0.25,1,0.821823,1,0.166667,false
105870@8870deb3cd89,0.720494,0.743284,0.733627,0.690286,0.824663,0.2,0.016393,0.011364,0.255613,0,0.25,false
105870@3f40a1f5c949,0,0,0,0,0,0.055556,0.012195,0.022727,0.487233,0,0.5,false
105870@dfd114b082c8,0,0.141678,0.180881,0.174687,0.072303,0.077821,0.014493,0.988636,0.649353,0,0.034483,false
105870@737052fdf35b,0.317716,0.24139,0.427123,0.423987,0.229195,0.073864,0.052632,0.477273,0.821823,0,0.5,false
105870@87f08c61d05b,0,0,0.168034,0.144482,0.144606,0.25,0.013158,1,0.821823,1,0.066667,false
105870@5f9635b242f4,0.358749,0.268167,0.530133,0.446769,0.636096,0.2,0.035714,1,0.821823,1,0.25,false
105870@79a900d67b0b,0.204543,0.141678,0.268931,0.236912,0.267552,0.104167,0.066667,0.602273,0.719996,0,0.090909,false
105870@51c538382270,0.149606,0.250947,0.427123,0.427123,0,1,0.02,1,0.649353,0,1,false
105870@afa073274618,0.767465,0.844189,0.88698,0.873308,0.898814,0.055556,0.010204,0.022727,0.461183,0,1,false
105870@9cd2476c33e0,0.149606,0.178778,0.283408,0.259473,0.259203,0.2,0.010753,1,0.719996,1,0.111111,false
105870@63a888e9010e,0.066202,0.161558,0.230259,0.215263,0.167882,0.25,0.01087,1,0.821823,1,0.125,false
105870@17b41e676e3e,0.066202,0.118166,0.306814,0.277487,0.301497,0.166667,0.013889,1,0.821823,1,1,false
105870@ae472cfe5fe0,0.066202,0.052289,0.135023,0.082257,0.167882,0.2,0.011494,1,0.821823,1,0.047619,false
105870@ea461be64d35,0.066202,0.052289,0.153038,0.12445,0.144606,0.166667,0.111111,1,0.821823,1,0.032258,false
